id;name;price;created_at;picture;state
1;Supervisor Berkshire;24124;2021-11-27T00:39:26;Flats Bedfordshire knowledge;SOLD_OUT
2;Bedfordshire Tuna;63865;2021-11-27T02:21:40;Director;NOT_AVAILABLE
3;York Guadeloupe proactive;26415;2021-11-26T08:52:19;portal Sausages;NOT_AVAILABLE
4;Games Granite Shirt;52185;2021-11-27T00:36:19;invoice;NOT_AVAILABLE
5;Pizza District intermediate;27787;2021-11-27T04:46:30;impactful Wall;AVAILABLE
6;Quality Directives;71182;2021-11-26T21:31:26;deposit Tools Corporate;SOLD_OUT
7;invoice;6788;2021-11-26T09:02:46;Toys Mississippi Hawaii;NOT_AVAILABLE
8;solution exuding Digitized;48093;2021-11-26T16:27:04;impactful context-sensitive;NOT_AVAILABLE
9;grid-enabled;83389;2021-11-27T02:06:22;budgetary withdrawal Computers;AVAILABLE
10;Supervisor Loan;46753;2021-11-26T11:19:31;compress;NOT_AVAILABLE
