id;username;name;role;created_at
1;Alaska;utilize;USER;2021-11-26T16:35:40
2;killer synergy transform;asymmetric Incredible empower;ADMIN;2021-11-27T01:06:28
3;Forint Franc;hack;USER;2021-11-27T03:35:54
4;programming Planner;connect;ADMIN;2021-11-26T12:21:03
5;Program;Metrics Dale;USER;2021-11-27T01:25:45
6;interactive grey services;cyan CFA;USER;2021-11-26T06:59:12
7;Central;Guiana Cotton;USER;2021-11-27T00:40:16
8;invoice;Communications;USER;2021-11-26T23:25:00
9;wireless;Applications Strategist;ADMIN;2021-11-26T14:31:21
10;payment Fish;bypass Corporate;ADMIN;2021-11-27T04:05:32
